Species_ID,Genus_ID,Model_ID,Family,Genus,Species,Common_Name,Group,Tribe,Native,PFG_Page,Sportfish,NonGame,Subsistence,Sensitivity,Rarity,Ubiquity,Extent,Tolerance,Robustness,Max_Age,Max_Length,Mean_Length,Mean_Weight,Girth_Index,WL_A,WL_B,Thinning,Thin_Adjustment,Estimated,Cave,Spring,Headwater,Creek,Small_River,Medium_River,Large_River,Lake_Impoundment,Swamp_Marsh,Coastal_Ocean,Riffles,Runs,Pools,Benthic,Surface,Nearshore_Littoral,OpenWater_Pelagic,Mud_Silt,Sand,Gravel,Rock_Rubble,Vegetation,Woody_Debris,Clear,Turbid,Warm,Cool,Cold,Lowlands,Uplands,Lower_Width,Upper_Width,Location_Notes,Habitat_Notes
929,164,427,Cyprinidae,Ptychocheilus,grandis,Sacramento Pikeminnow,Minnow,Other Minnow,Y,161,1,0,1,U,3,25.4,3.1,26.5,12.5,11,140,60,1245.7,0.22,0.00433,3.07,0.7,0,1,XXX,-999,-999,-999,A,A,A,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,A,A,A,-999,-999,A,-999,A,-999,-999,-999,-999,5,10000,,
930,164,-999,Cyprinidae,Ptychocheilus,lucius,Colorado Pikeminnow,Minnow,Other Minnow,Y,160,1,0,1,U,6,0,0,0,0,12,180,75,2471.3,0.22,0.00433,3.07,0.73,0,1,XXX,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,10000,Not found in southern portion of range,
931,164,428,Cyprinidae,Ptychocheilus,oregonensis,Northern Pikeminnow,Minnow,Other Minnow,Y,161,1,0,1,T,2,20,7.3,25.5,15.1,8,65,25,84.75,0.22,0.00433,3.07,0.64,0,1,XXX,-999,-999,-999,A,A,A,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,10000,,
932,164,-999,Cyprinidae,Ptychocheilus,umpquae,Umpqua Pikeminnow,Minnow,Other Minnow,Y,161,1,0,1,U,3,0,0,0,0,7,45,20,42.72,0.22,0.00433,3.07,0.61,0,1,XXX,-999,-999,A,A,-999,-999,A,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,25,,
933,165,-999,Gasterosteidae,Pungitius,pungitius,Ninespine Stickleback,Stickleback,Stickleback,Y,462,0,1,0,M,3,0,0,0,0,3,9,4,0.2,0.03,0.00285,3.07,0.5,0,1,XXX,-999,A,A,A,-999,-999,A,-999,A,-999,-999,A,-999,-999,-999,A,-999,A,-999,-999,A,-999,-999,-999,-999,A,-999,-999,-999,0,25,,
934,166,429,Ictaluridae,Pylodictis,olivaris,Flathead Catfish,Catfish,Catfish,Y,348,1,0,1,M,4,4.5,45.6,21.7,16,7,155,70,8658.64,0.92,0.01175,3.18,0.64,-0.085,0,XXX,-999,-999,-999,A,A,A,A,-999,-999,J,J,A,A,-999,-999,-999,-999,J,J,J,-999,A,-999,-999,-999,-999,-999,-999,-999,5,10000,,
935,167,-999,Cyprinidae,Relictus,solitarius,Relict Dace,Minnow,Dace,Y,176,0,1,0,U,3,0,0,0,0,4,13,5,0.61,0.22,0.00433,3.07,0.52,0,1,XXX,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,,
936,168,430,Cyprinidae,Rhinichthys,atratulus,Blacknose Dace,Minnow,Dace,Y,204,0,1,0,T,3,28.2,27.2,26.2,26.3,3,12,4,0.38,0.22,0.00623,2.97,0.55,0.1024,0,XXX,-999,A,A,A,-999,-999,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,25,,
937,168,431,Cyprinidae,Rhinichthys,cataractae,Longnose Dace,Minnow,Dace,Y,207,0,1,0,S,3,24,34.6,46.9,32.7,5,22,7.26,3.79,0.22,0.01984,2.65,0.55,0.0423,0,XXX,-999,-999,A,A,A,-999,A,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,A,1,50,Fairly common in west,
938,168,-999,Cyprinidae,Rhinichthys,cobitis,Loach Minnow,Minnow,Dace,Y,208,0,1,0,U,3,0,0,0,0,4,6,2.22,0.05,0.22,0.00403,3.09,0.55,0,0,XXX,-999,-999,A,A,A,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,1,50,Uncommon in AZ,
